INT((SUM([P some college])/[Calculation2])*100),NE,30
INT((SUM([P some high school])/[Calculation2])*100),NE,4
INT((SUM([P bachelor and above])/[Calculation2])*100),ND,36
INT((SUM([P below middle school])/[Calculation2])*100),ND,0
INT((SUM([P high school equivalent])/[Calculation2])*100),ND,23
INT((SUM([P some college])/[Calculation2])*100),ND,35
INT((SUM([P some high school])/[Calculation2])*100),ND,4
INT((SUM([P bachelor and above])/[Calculation2])*100),NC,33
INT((SUM([P below middle school])/[Calculation2])*100),NC,2
INT((SUM([P high school equivalent])/[Calculation2])*100),NC,24
INT((SUM([P some college])/[Calculation2])*100),NC,31
INT((SUM([P some high school])/[Calculation2])*100),NC,7
INT((SUM([P bachelor and above])/[Calculation2])*100),MT,35
INT((SUM([P below middle school])/[Calculation2])*100),MT,0
INT((SUM([P high school equivalent])/[Calculation2])*100),MT,26
INT((SUM([P some college])/[Calculation2])*100),MT,32
INT((SUM([P some high school])/[Calculation2])*100),MT,4
INT((SUM([P bachelor and above])/[Calculation2])*100),MS,26
INT((SUM([P below middle school])/[Calculation2])*100),MS,2
INT((SUM([P high school equivalent])/[Calculation2])*100),MS,28
INT((SUM([P some college])/[Calculation2])*100),MS,34
INT((SUM([P some high school])/[Calculation2])*100),MS,8
INT((SUM([P bachelor and above])/[Calculation2])*100),MO,34
INT((SUM([P below middle school])/[Calculation2])*100),MO,1
INT((SUM([P high school equivalent])/[Calculation2])*100),MO,26
INT((SUM([P some college])/[Calculation2])*100),MO,31
INT((SUM([P some high school])/[Calculation2])*100),MO,5
INT((SUM([P bachelor and above])/[Calculation2])*100),MN,40
INT((SUM([P below middle school])/[Calculation2])*100),MN,2
INT((SUM([P high school equivalent])/[Calculation2])*100),MN,21
INT((SUM([P some college])/[Calculation2])*100),MN,31
INT((SUM([P some high school])/[Calculation2])*100),MN,3
INT((SUM([P bachelor and above])/[Calculation2])*100),MI,30
INT((SUM([P below middle school])/[Calculation2])*100),MI,1
INT((SUM([P high school equivalent])/[Calculation2])*100),MI,28
INT((SUM([P some college])/[Calculation2])*100),MI,33
INT((SUM([P some high school])/[Calculation2])*100),MI,6
INT((SUM([P bachelor and above])/[Calculation2])*100),ME,32
INT((SUM([P below middle school])/[Calculation2])*100),ME,1
INT((SUM([P high school equivalent])/[Calculation2])*100),ME,31
INT((SUM([P some college])/[Calculation2])*100),ME,30
INT((SUM([P some high school])/[Calculation2])*100),ME,4
INT((SUM([P bachelor and above])/[Calculation2])*100),MD,40
INT((SUM([P below middle school])/[Calculation2])*100),MD,2
INT((SUM([P high school equivalent])/[Calculation2])*100),MD,25
INT((SUM([P some college])/[Calculation2])*100),MD,25
INT((SUM([P some high school])/[Calculation2])*100),MD,5
INT((SUM([P bachelor and above])/[Calculation2])*100),MA,43
INT((SUM([P below middle school])/[Calculation2])*100),MA,3
INT((SUM([P high school equivalent])/[Calculation2])*100),MA,24
INT((SUM([P some college])/[Calculation2])*100),MA,23
INT((SUM([P some high school])/[Calculation2])*100),MA,5
INT((SUM([P bachelor and above])/[Calculation2])*100),LA,27
INT((SUM([P below middle school])/[Calculation2])*100),LA,2
INT((SUM([P high school equivalent])/[Calculation2])*100),LA,32
INT((SUM([P some college])/[Calculation2])*100),LA,28
INT((SUM([P some high school])/[Calculation2])*100),LA,9
INT((SUM([P bachelor and above])/[Calculation2])*100),KY,31
INT((SUM([P below middle school])/[Calculation2])*100),KY,1
INT((SUM([P high school equivalent])/[Calculation2])*100),KY,26
INT((SUM([P some college])/[Calculation2])*100),KY,32
INT((SUM([P some high school])/[Calculation2])*100),KY,6
INT((SUM([P bachelor and above])/[Calculation2])*100),KS,40
INT((SUM([P below middle school])/[Calculation2])*100),KS,2
INT((SUM([P high school equivalent])/[Calculation2])*100),KS,23
INT((SUM([P some college])/[Calculation2])*100),KS,29
INT((SUM([P some high school])/[Calculation2])*100),KS,5
INT((SUM([P bachelor and above])/[Calculation2])*100),IN,29
INT((SUM([P below middle school])/[Calculation2])*100),IN,2
INT((SUM([P high school equivalent])/[Calculation2])*100),IN,31
INT((SUM([P some college])/[Calculation2])*100),IN,29
INT((SUM([P some high school])/[Calculation2])*100),IN,7
INT((SUM([P bachelor and above])/[Calculation2])*100),IL,37
INT((SUM([P below middle school])/[Calculation2])*100),IL,3
INT((SUM([P high school equivalent])/[Calculation2])*100),IL,24
INT((SUM([P some college])/[Calculation2])*100),IL,28
INT((SUM([P some high school])/[Calculation2])*100),IL,6
INT((SUM([P bachelor and above])/[Calculation2])*100),ID,30
INT((SUM([P below middle school])/[Calculation2])*100),ID,1
INT((SUM([P high school equivalent])/[Calculation2])*100),ID,26
INT((SUM([P some college])/[Calculation2])*100),ID,35
INT((SUM([P some high school])/[Calculation2])*100),ID,5
INT((SUM([P bachelor and above])/[Calculation2])*100),IA,36
INT((SUM([P below middle school])/[Calculation2])*100),IA,1
INT((SUM([P high school equivalent])/[Calculation2])*100),IA,26
INT((SUM([P some college])/[Calculation2])*100),IA,30
INT((SUM([P some high school])/[Calculation2])*100),IA,4
INT((SUM([P bachelor and above])/[Calculation2])*100),HI,32
INT((SUM([P below middle school])/[Calculation2])*100),HI,2
INT((SUM([P high school equivalent])/[Calculation2])*100),HI,28
INT((SUM([P some college])/[Calculation2])*100),HI,32
INT((SUM([P some high school])/[Calculation2])*100),HI,4
INT((SUM([P bachelor and above])/[Calculation2])*100),GA,35
INT((SUM([P below middle school])/[Calculation2])*100),GA,3
INT((SUM([P high school equivalent])/[Calculation2])*100),GA,24
INT((SUM([P some college])/[Calculation2])*100),GA,28
INT((SUM([P some high school])/[Calculation2])*100),GA,7
INT((SUM([P bachelor and above])/[Calculation2])*100),FL,29
INT((SUM([P below middle school])/[Calculation2])*100),FL,3
INT((SUM([P high school equivalent])/[Calculation2])*100),FL,28
INT((SUM([P some college])/[Calculation2])*100),FL,30
INT((SUM([P some high school])/[Calculation2])*100),FL,7
INT((SUM([P bachelor and above])/[Calculation2])*100),DE,31
INT((SUM([P below middle school])/[Calculation2])*100),DE,1
INT((SUM([P high school equivalent])/[Calculation2])*100),DE,32
INT((SUM([P some college])/[Calculation2])*100),DE,26
INT((SUM([P some high school])/[Calculation2])*100),DE,7
INT((SUM([P bachelor and above])/[Calculation2])*100),DC,57
INT((SUM([P below middle school])/[Calculation2])*100),DC,2
INT((SUM([P high school equivalent])/[Calculation2])*100),DC,17
INT((SUM([P some college])/[Calculation2])*100),DC,16
INT((SUM([P some high school])/[Calculation2])*100),DC,6
INT((SUM([P bachelor and above])/[Calculation2])*100),CT,39
INT((SUM([P below middle school])/[Calculation2])*100),CT,2
INT((SUM([P high school equivalent])/[Calculation2])*100),CT,27
INT((SUM([P some college])/[Calculation2])*100),CT,24
INT((SUM([P some high school])/[Calculation2])*100),CT,5
INT((SUM([P bachelor and above])/[Calculation2])*100),CO,41
INT((SUM([P below middle school])/[Calculation2])*100),CO,2
INT((SUM([P high school equivalent])/[Calculation2])*100),CO,21
INT((SUM([P some college])/[Calculation2])*100),CO,29
INT((SUM([P some high school])/[Calculation2])*100),CO,5
INT((SUM([P bachelor and above])/[Calculation2])*100),CA,33
INT((SUM([P below middle school])/[Calculation2])*100),CA,8
INT((SUM([P high school equivalent])/[Calculation2])*100),CA,20
INT((SUM([P some college])/[Calculation2])*100),CA,29
INT((SUM([P some high school])/[Calculation2])*100),CA,7
INT((SUM([P bachelor and above])/[Calculation2])*100),AZ,29
INT((SUM([P below middle school])/[Calculation2])*100),AZ,4
INT((SUM([P high school equivalent])/[Calculation2])*100),AZ,24
INT((SUM([P some college])/[Calculation2])*100),AZ,34
INT((SUM([P some high school])/[Calculation2])*100),AZ,7
INT((SUM([P bachelor and above])/[Calculation2])*100),AR,28
INT((SUM([P below middle school])/[Calculation2])*100),AR,2
INT((SUM([P high school equivalent])/[Calculation2])*100),AR,30
INT((SUM([P some college])/[Calculation2])*100),AR,30
INT((SUM([P some high school])/[Calculation2])*100),AR,7
INT((SUM([P bachelor and above])/[Calculation2])*100),AL,28
INT((SUM([P below middle school])/[Calculation2])*100),AL,2
INT((SUM([P high school equivalent])/[Calculation2])*100),AL,28
INT((SUM([P some college])/[Calculation2])*100),AL,30
INT((SUM([P some high school])/[Calculation2])*100),AL,9
INT((SUM([P bachelor and above])/[Calculation2])*100),AK,32
INT((SUM([P below middle school])/[Calculation2])*100),AK,1
INT((SUM([P high school equivalent])/[Calculation2])*100),AK,25
INT((SUM([P some college])/[Calculation2])*100),AK,37
INT((SUM([P some high school])/[Calculation2])*100),AK,3
